Official (scientific) name,Common name
Aedes krombeini,Mosquito
Aedes luteocephalus,Mosquito
Aedes malayensis,Mosquito
Aedes novalbopictus,Mosquito
Aedes pseudoscutellaris,Mosquito
Aedes taylori,Mosquito
Aedes togoi,Mosquito
Aedes vittatus,Mosquito
Aedes w-albus,Mosquito
Aegilops comosa,Goatgrass
Aegilops columnaris,Goatgrass
Aegista diversifamilia,Snail
Aegilops longissima,Goatgrass
Aegilops speltoides,Goatgrass
Aegilops tauschii subsp. strangulata,Goatgrass
Aegilops umbellulata,Goatgrass
Aegilops uniaristata,Goatgrass
Aegilops ventricosa,Goatgrass
Aeolothrips albicinctus,Thrips
Aepyceros melampus,Impala
Aeranthes ramosa,Orchid
Avian encephalomyelitis virus (strain Calnek vaccine),AEV
Avian encephalomyelitis virus (strain L2Z),AEV
Avian encephalomyelitis virus (strain Van Reokel),AEV
Acidianus filamentous virus 1,AFV-1
Acidianus filamentous virus 1 (isolate United States/Yellowstone),AFV-1
Acidianus filamentous virus 2,AFV-2
Acidianus filamentous virus 2 (isolate Italy/Pozzuoli),AFV-2
Agave amica,Tuberose
Agathis australis,Kauri
Agaricus benesii,Mushroom
Agaraea minuta,Moth
Agaricus placomyces,Mushroom
American grass carp reovirus,AGCRV
Ageratum houstonianum,Bluemink
Agelaia vicina,Wasp
Agkistrodon bilineatus,Cantil
Agrocybe cylindracea,Toadstool
Agylla argentifera,Moth
Agylla asra,Moth
Avon-Heathcote Estuary associated kieseladnavirus,AHEaBV
Avian hepatitis E virus (isolate Chicken/California/Meng),AHEV
Atlantic halibut nervous necrosis virus,AhNNV
African horse sickness virus 1,AHSV-1
African horse sickness virus 2,AHSV-2
African horse sickness virus 3,AHSV-3
African horse sickness virus 4,AHSV-4
African horse sickness virus 5,AHSV-5
African horse sickness virus 6,AHSV-6
African horse sickness virus 7,AHSV-7
African horse sickness virus 8,AHSV-8
African horse sickness virus 9,AHSV-9
Atkinsonella hypoxylon virus,AhV
Alcelaphine herpesvirus 1 (strain WC11),AlHV-1
Atkinsonella hypoxylon virus (isolate 2H),AhV
Ailanthus altissima,Tree-of-heaven
Aichi virus,AiV
Aichi virus (strain Human/A846/88/1989),AiV
Ajuga reptans,Bugle
Akania bidwillii,Turnipwood
Alasmidonta marginata,Elktoe
Alces alces alces,Elk
Alcelaphus buselaphus,Hartebeest
Alca torda,Razorbill
Aleurochiton aceris,Whitefly
Alexandrium cohorticula,Dinoflagellate
Alexandrium fundyense,Dinoflagellate
Alexandrium minutum,Dinoflagellate
Alebra thoracica,Leafhopper
Alepocephalus umbriceps,Slickhead
Alcelaphine herpesvirus 1 (strain C500),AlHV-1
Alitta virens,Sandworm
Alkhumra hemorrhagic fever virus,ALKV
Alle alle,Dovekie
Allium cepa,Onion
Allium cepa var. aggregatum,Shallot
Allophylus cobbe,Tit-berry
Allograpta obliqua,Hoverfly
Allium porrum,Leek
Allium sativum,Garlic
Allium schoenoprasum,Chives
Alloteuthis subulata,Squid
Allium ursinum,Ramsons
Allpahuayo mammarenavirus (isolate Rat/Peru/CLHP-2472/1997),ALLV
Alloxylon wickhamii,Waratah
Aloe vera,Aloe
Aphid lethal paralysis virus,ALPV
Alstroemeria inodora,Lily
Altolamprologus calvus,Calvus
Avian leukosis virus,ALV
Amaranthus caudatus,Love-lies-bleeding
Amarsipus carlsbergi,Amarsipa
Amapari mammarenavirus (isolate Mouse/Brazil/BeAn 70563/1965),AMAV
Amburana acreana,Cerejeira
Amburana cearensis,Cerejeira
Ambesa laetella,Moth
Ambystoma mexicanum,Axolotl
Ambrosiozyma monospora,Yeast
Amblyomma sculptum,Tick
Ambohima sublima,Spider
Artichoke mottled crinkle virus,AMCV
Amesiella philippinensis,Orchid
Amsacta moorei entomopoxvirus,AmEPV
Amesia sanguiflua,Moth
Amia calva,Bowfin
Amoya chusanensis,Goby
Amoeba proteus,Amoeba
Amphidinium carterae,Dinoflagellate
Amphidinium corpulentum,Dinoflagellate
Ampelopsis glandulosa var. brevipedunculata,Porcelain-berry
Amphidinium herdmanii,Dinoflagellate
Amphilophus macracanthus,Firemouth
Amphiuma means,Salamander
Amphidinium operculatum,Dinoflagellate
Amphimedon queenslandica,Sponge
Avian metapneumovirus (isolate Canada goose/Minnesota/15a/2001),AMPV
Ampithoe valida,Amphipod
Alphamesonivirus 1 (isolate Aedes harrisoni/Cote d'Ivoire/C79/2004),CAVV
Amynthas vittatus,Earthworm
Ananas comosus,Pineapple
Anania coronata,Moth
Anacardium occidentale,Cashew
Anarrhichthys ocellatus,Wolf-eel
Anas platyrhynchos,Mallard
Anchusa officinalis,Alkanet
Andalucia godoyi,Flagellate
Androctonus mauritanicus mauritanicus,Scorpion
Andrographis paniculata,Creat
Andes orthohantavirus,ANDV
Anemone blanda,Windflower
Anethum graveolens,Dill
Anemone leveillei,Windflower
Anemia phyllitidis,Fern
Aneura pinguis,Greasewort
Angelica archangelica,Angelica
Angraecum cultriforme,Orchid
Angraecum eburneum,Orchid
Anguloa hohenlohii,Orchid
Anhinga anhinga,Anhinga
Anguillid herpesvirus 1 (isolate Anguilla anguilla/Netherlands/500138/1998),AngHV-1
Annona cherimola,Cherimoya
Annona muricata,Soursop
Anopheles arabiensis,Mosquito
Anopheles darlingi,Mosquito
Anoplocephaloides dentata,Flatworm
Anochetus emarginatus,Ant
Anoplopoma fimbria,Sablefish
Anopheles merus,Mosquito
Anopheles quadriannulatus,Mosquito
Anopheles sinensis,Mosquito
Anthoceros angustus,Hornwort
Anthophila alpinella,Moth
Antilocapra americana,Pronghorn
Antidesma bunius,Bignay
Antilope cervicapra,Blackbuck
Antirrhinum cirrhigerum,Snapdragon
Antrostomus carolinensis,Chuck-will's-widow
Antachara diminuta,Moth
Antirrhinum hispanicum,Snapdragon
Antirrhinum linkianum,Snapdragon
Antidorcas marsupialis,Springbok
Anthomyia pluvialis,Fly
Anthoceros punctatus,Hornwort
Anticollix sparsata,Moth
Avian nephritis virus 1,ANV-1
Aotus trivirgatus,Douroucouli
Aeropyrum pernix bacilliform virus 1 (isolate -/Japan/Tanaka/2005),APBV1
Apium graveolens var. rapaceum,Celeriac
Apium graveolens,Celery
Apis mellifera,Honeybee
Andean potato mottle virus,APMV
Apocheima cinerarius,Moth
Aeropyrum pernix ovoid virus 1,APOV1
Appalachioria falcifera,Millipede
Aedes pseudoscutellaris reovirus,ApRV
Aedes pseudoscutellaris reovirus (isolate France),ApRV
Apusomonas proboscidea,Flagellate
Aquareovirus A (isolate Chum salmon/Japan/CSRV/1981),AQRV-A
Aquareovirus C (isolate Golden shiner/USA/GSRV/1977),AQRV-C
Aquareovirus G (isolate American grass carp/USA/PB01-155/-),AQRV-G
Aquamavirus A (isolate Phoca hispida/Canada/HO.02.21/2002),SePV-1
Aralia cordata,Udo
Aranda deborah,Orchid
Arabis flagellosa,Rock-cress
Aramus guarauna,Limpkin
Arapaima gigas,Arapaima
Arachis hypogaea,Peanut
Arabidopsis korshinskyi,Rock-cress
Arabis pumila,Rock-cress
Arabis soyeri,Rock-cress
Aravan virus,ARAV
Arbusculohypopterygium arbuscula,Moss
Arctictis binturong,Binturong
Arctopus echinatus,Platdoring
Archaeoses pentasema,Moth
Archosargus probatocephalus,Sheepshead
Arctostaphylos uva-ursi,Bearberry
Ardisia crenata,Coralberry
Arenicola cristata,Lugworm
Arenicola marina,Lugworm
Arge cyanocrocea,Sawfly
Arge nigripes,Sawfly
Argyrosomus regius,Meagre
Argania spinosa,Argan
Arhodia lasiocamparia,Moth
Aristolochia arborea,Birthwort
Aristolochia baetica,Birthwort
Aristolochia clematitis,Birthwort
Aristolochia cucurbitifolia,Birthwort
Aristolochia cymbifera,Jarrinha
Aristolochia debilis,Birthwort
Aristolochia gibertii,Birthwort
Aristolochia kaempferi,Birthwort
Aristolochia liukiuensis,Birthwort
Aristolochia manshuriensis,Birthwort
Aristolochia onoei,Birthwort
Aristolochia ovalifolia,Birthwort
Aristolochia peruviana,Birthwort
Aristolochia pilosa,Birthwort
Aristolochia salvadorensis,Birthwort
Aristolochia tricaudata,Birthwort
Arisaema triphyllum,Jack-in-the-pulpit
Armadillidium lobocurvum,Woodlouse
Armoracia rusticana,Horseradish
Armigeres subalbatus,Mosquito
Arabis mosaic virus,ArMV
Arabis mosaic virus (isolate NW),ArMV
Arabis mosaic virus (isolate Syrah),ArMV
Armadillidium vulgare,Pillbug
Arracacia xanthorrhiza,Arracacha
Arthropteris beckleri,Fern
Arthrostemma ciliatum,Pinkfringe
Artocarpus heterophyllus,Jackfruit
Artemisia vulgaris,Mugwort
Arum maculatum,Cuckoo-pint
Adelaide River virus,ARV
Avian reovirus (strain S1133),ARV
Asarum europaeum,Asarabacca
Ascaloptynx appendiculata,Owlfly
Ascalohybris subjacens,Owlfly
African swine fever virus,ASFV
African swine fever virus (strain Badajoz 1971 Vero-adapted),Ba71V
African swine fever virus (isolate Tick/South Africa/Crocodile Cr1/1996),ASFV
African swine fever virus (isolate Tick/South Africa/Crocodile Cr3/1996),ASFV
African swine fever virus (isolate Tick/Zimbabwe/Chiredzi Ch1/1983),ASFV
African swine fever virus (strain E-70 MS16),ASFV
African swine fever virus (strain E-70 MS44),ASFV
African swine fever virus (isolate Pig/Spain/E-75/1975),ASFV
African swine fever virus (isolate Pig/Haiti/H811/1981),ASFV
African swine fever virus (isolate Pig/Kenya/KEN-50/1950),ASFV
African swine fever virus (isolate Portugal/Lis 57/1957),ASFV
African swine fever virus (isolate Pig/Portugal/Lis 60/1960),ASFV
African swine fever virus (isolate Tick/South Africa/Wildebeeslaagte M1/1996),ASFV
African swine fever virus (isolate Tick/Malawi/Lil 20-1/1983),ASFV
African swine fever virus (isolate Tick/South Africa/Pretoriuskop Pr4/1996),ASFV
African swine fever virus (isolate Tick/South Africa/Pretoriuskop Pr5/1996),ASFV
African swine fever virus (isolate Pig/Benin/Ben 97-1/1997),ASFV
African swine fever virus (isolate Pig/Portugal/OURT88/1988),ASFV
African swine fever virus (isolate Warthog/Namibia/Wart80/1980),ASFV
Apple stem grooving virus (strain Korea),ASGV
Apple stem grooving virus (strain P-209),ASGV
Ashbya aceri,Yeast
Arctic squirrel hepatitis virus,ASHV
Asimitellaria acerina,Miterwort
Asimitellaria furusei,Miterwort
Asimitellaria pauciflora,Miterwort
Asimina triloba,Pawpaw
Asplenium antiquum,Spleenwort
Asperula cynanchica,Squinancywort
Aspasma minima,Clingfish
Apple stem pitting virus (isolate PA66),ASPV
Atlantic salmon paramyxovirus (isolate -/Norway/Yrkje371/1995),ASPV
Astronotus ocellatus,Oscar
Atalopedes campestris,Sachem
Athetis dissimilis,Moth
Athetis lepigone,Moth
Ateline herpesvirus 3,AtHV-3
Atropa belladonna,Belladonna
Acidianus two-tailed virus,ATV
Aura virus,AURAV
Auriparus flaviceps,Verdin
Aurantiochytrium single-stranded RNA virus 01 (isolate -/Japan/AuRNAV01/2000),AuRNAV01
Austinograea alayseae,Crab
Austrophasma gansbaaiense,Gladiator
Austrobalanus imperator,Barnacle
Austrophasma rawsonvillense,Gladiator
Austrocylindropuntia vestita,Cactus
Avena sativa,Oat
Avian endogenous rous-associated virus-0,EV-2
Avian myeloblastosis associated virus,MAV
Avian myeloblastosis virus,AMV
Avian sarcoma virus (strain 31),ASV31
UR2 avian sarcoma virus,UR2SV
Avisivirus A (isolate Turkey/USA/USA-IN1/2010),TuASV
Y73 avian sarcoma virus,Y73SV
Axis axis,Chital
Aythya americana,Redhead
Aythya valisineria,Canvasback
Azeta rhodogaster,Moth
Babyrousa babyrussa,Babirusa
Baccharis neglecta,Roosevelt-weed
Bagarius yarrelli,Goonch
Bahadzia jaraguensis,Amphipod
Bahiopsis tomentosa,Tecote
Balclutha impicta,Leafhopper
Balanites maughamii,Torchwood
Balaeniceps rex,Shoebill
Bambusa emeiensis,Bamboo
Barley mild mosaic virus (strain ASL),BaMMV
Barley mild mosaic virus (strain Na1),BaMMV
Barley mild mosaic virus (strain UK-F),BaMMV
Banisteriopsis caapi,Ayahuasca
Banzi virus,BANV
Barbus barbus,Barbel
Beryx decadactylus,Alfonsino
Bassariscus astutus,Ringtail
Bassozetus zenkevitchi,Cusk-eel
Bathymodiolus azoricus,Mussel
Bathymodiolus marisindicus,Mussel
Bathymodiolus puteoserpentis,Mussel
Bathymaster signatus,Searcher
Batrachoididae sp.,Toadfish
Bathymodiolus thermophilus,Mussel
Bauhinia forficata,Cow's-foot
Banna virus (strain Indonesia/JKT-6423/1980),BAV
Barley yellow mosaic virus (isolate Germany),BaYMV
Barley yellow mosaic virus (strain Japanese II-1),BaYMV
Barley yellow mosaic virus,BaYMV
Barley yellow mosaic virus (isolate China/Yancheng/1998),BaYMV
Blueberry scorch virus,BBScV
Banana bunchy top virus,BBTV
Banana bunchy top virus (isolate Autralia),BBTV
Black beetle virus,BBV
Broad bean wilt virus 1,BBWV-1
Broad bean wilt virus 2,BBWV-2
Broad bean wilt virus 1 (strain Spinach/United States/ATCC PV-132/1963),BBWV-1
Bat coronavirus 133/2005,BtCoV
Bat coronavirus 279/2005,BtCoV
Bat coronavirus 512/2005,BtCoV
Black Creek Canal orthohantavirus,BCCV
Bat coronavirus HKU3,BtCoV
Bat coronavirus HKU4,BtCoV
Bat coronavirus HKU5,BtCoV
Bat coronavirus HKU9,BtCoV
Bean common mosaic necrosis virus (strain NL-3),BCMNV
Bear Canyon mammarenavirus (isolate Mouse/United States/AV A0070039/2000),BCNV
Bat coronavirus Rp3/2004,BtCoV/Rp3/2004
Beet curly top Iran virus (isolate Sugar beet/Iran/Kerman/-),BCTIV
Beet curly top Iran virus (isolate K),BCTIV
Beet curly top virus (strain California/Logan),BCTV
Borna disease virus,BDV
Borna disease virus 1,BoDV-1
Borna disease virus (strain V),BDV
Bebbia juncea,Sweetbush
Bovine enteric calicivirus Newbury agent-1 (isolate Bovine/UK/Newbury1/1976),BEC
Bovine enteric calicivirus NB (isolate Bovine/United States/N ebraska/1980),BEC-NB
Bovine ephemeral fever virus,BEFV
Bovine ephemeral fever virus (strain BB7721),BEFV
Bejaria racemosa,Tarflower
Bellis perennis,Daisy
Bemisia afer,Whitefly
Benedenia hoshinai,Flatworm
Berzelia lanuginosa,Buttonbush
Beryx mollis,Alfonsino
Berberis stolonifera,Barberry
Beta corolliflora,Beet
Beta lomatogona,Beet
Beta macrocarpa,Beet
Beta nana,Beet
Beta vulgaris subsp. vulgaris,Beet
Berne virus,BEV
Bean yellow dwarf virus,BeYDV
Beak and feather disease virus,BFDV
Budgerigar fledgling disease virus,BFPyV
Barmah forest virus,BFV
Bean golden yellow mosaic virus (isolate Puerto Rico-Japan),BGYMV
Bean golden yellow mosaic virus (isolate Puerto Rico),BGYMV
Bhanja virus,BHAV
Bovine herpesvirus 1 (strain 6660),BoHV-1
Bovine herpesvirus 1.1 (strain Cooper),BoHV-1
Bovine herpesvirus 1.1 (strain Jura),BoHV-1
Bovine herpesvirus 1.2 (strain K22),BoHV-1
Bovine herpesvirus 1.1 (strain P8-2),BoHV-1
Bovine herpesvirus 1.2 (strain Q3932),BoHV-1
Bovine herpesvirus 1.2 (strain ST),BoHV-1
Bovine herpesvirus 2 (strain BMV),BoHV-2
Bovine herpesvirus 2 (strain BHM-1),BoHV-2
Bovine herpesvirus 4,BoHV-4
Bovine herpesvirus 4 (strain 66-p-347),BoHV-4
Bovine herpesvirus 4 (strain DN-599),BoHV-4
Bovine herpesvirus 4 (strain LVR140),BoHV-4
Bovine herpesvirus 4 (strain V. test),BoHV-4
Bovine herpesvirus 5 (strain N569),BoHV-5
Biancaea sappan,Sappanwood
Bilobella aurantiaca,Springtail
Biphyllus lunatus,Beetle
Bovine immunodeficiency virus (strain R29),BIV
Blastobotrys adeninivorans,Yeast
Blabericola migrator,Gregarine
Blepharipa albicauda,Fly
Blepharisma americanum,Ciliate
Bletia catenulata,Orchid
Blepharodera discoidalis,Cockroach
Bletia purpurea,Pinepink
Blomia tropicalis,Mite
Bean leafroll virus,BLRV
Bovine leukemia virus,BLV
Bovine leukemia virus (isolate American FLK),BLV
Bovine leukemia virus (isolate Australian),BLV
Bovine leukemia virus (isolate American VDM),BLV
Bovine leukemia virus (isolate Belgium LB285),BLV
Bovine leukemia virus (isolate Belgium LB59),BLV
Bovine leukemia virus (isolate Japanese BLV-1),BLV
Bombyx mori densovirus 3 (isolate Silkworm/China/Zhenjiang/-),BmDNV-3
Bombyx mori densovirus 5 (isolate Shinshu),BmDNV-5
Bombyx mori densovirus,BmDNV
Belladonna mottle virus,BMDV
Brome mosaic virus,BMV
Bombyx mori densovirus 3,BMDNV-3
Beet necrotic yellow vein mosaic virus (isolate France/F2),BNYVV
Beet necrotic yellow vein mosaic virus (isolate Yugoslavia/G1),BNYVV
Beet necrotic yellow vein virus (isolate Japan/S),BNYVV
Boa constrictor,Boa
Boeckella titicacae,Copepod
Bombus hypocrita,Bumblebee
Bombus ignitus,Bumblebee
Bombus impatiens,Bumblebee
Bombus patagiatus,Bumblebee
Bombina sp.,Toad
Boops boops,Bogue
Boolarra virus,BoV
Boreolithothamnion glaciale,Maerl
Borago officinalis,Bourrache
Bos gaurus,Seladang
Bos indicus,Zebu
Bos primigenius,Aurochs
Bos sauveli,Kouprey
Boselaphus tragocamelus,Nilgai
Bothrops alternatus,Urutu
Bothrops ammodytoides,Yararanata
Bothrops asper,Terciopelo
Bothrops atrox,Fer-de-lance
Bothrops cotiara,Cotiara
Bothrops jararaca,Jararaca
Bothrops jararacussu,Jararacussu
Botrychium lunaria,Moonwort
Bothrops moojeni,Caissaca
Bothrops matogrossensis,Pitviper
Bothrometopus parvulus,Weevil
Botrychium strictum,Fern
Botrytis virus F (isolate Botrytis cinerea/New Zealand/Howitt/2001),BotV-F
Botrytis virus X (isolate Botrytis cinerea/New Zealand/Howitt/2006),BOTV-X
Bouvardia ternifolia,Firecrackerbush
Bovine enterovirus (strain VG-5-27),BEV
Bos taurus,Bovine
Bovichtus variegatus,Thornfish
Vibrio phage KVP40 (isolate Vibrio parahaemolyticus/Japan/Matsuzaki/1991),KVP40
Bean-pod mottle virus (strain Kentucky G7),BPMV
Pseudomonas phage PB1 (isolate Pseudomonas aeruginosa/Scotland/Bradley/1968),PB1
Brassia aurantiaca,Orchid
Brachyglene albicephala,Moth
Brassia allenii,Orchid
Branchiostoma belcheri,Amphioxus
Branchiostoma californiense,Amphioxus
Brassica cretica,Mustard
Branchiostoma floridae,Amphioxus
Brachycybe lecontii,Millipede
Brassica napus,Rape
Brassica oleracea var. botrytis,Cauliflower
Brassica oleracea var. capitata,Cabbage
Brachyhypopomus occidentalis,Knifefish
Brassica oleracea var. italica,Broccoli
Brachidontes pharaonis,Mussel
Brachidontes puniceus,Mussel
Brachyseps punctatus,Skink
Brassica rapa subsp. chinensis,Pak-choi
Brachidontes rodriguezii,Mussel
Brassica rapa subsp. rapa,Turnip
Brassica rupestris,Mustard
Brachynemurus sackeni,Antlion
Brassica sp.,Mustard
Blackcurrant reversion association virus,BRAV
Broadhaven virus,BRD
Brettanomyces anomalus,Yeast
Brettanomyces custersianus,Yeast
Brenthia hexaselena,Moth
Brettanomyces naardenensis,Yeast
Brotheas amazonicus,Scorpion
Brosme brosme,Tusk
Bromheadia finlaysoniana,Orchid
Browningia hertlingiana,Cactus
Bromelia plumieri,Karatas
Brookesia therezieni,Chameleon
Beet ringspot virus,BRSV
Bovine respiratory syncytial virus (strain 127),BRS
Bovine respiratory syncytial virus (strain 220-60),BRS
Bovine respiratory syncytial virus (strain 391-2),BRS
Bovine respiratory syncytial virus (strain 4642),BRS
Bovine respiratory syncytial virus (strain 375),BRS
Bovine respiratory syncytial virus (strain 220-69),BRS
Bovine respiratory syncytial virus (strain A51908),BRS
Bovine respiratory syncytial virus (strain Copenhagen),BRS
Bovine respiratory syncytial virus (strain Lelystad),BRS
Bovine respiratory syncytial virus (strain Rb94),BRS
Bovine respiratory syncytial virus (strain Snook),BRS
Bovine respiratory syncytial virus (strain Wbh),BRS
Breda virus 1,BRV-1
Breda virus 2,BRV-2
Bryanthus gmelinii,Heath
Bryobium hyacinthoides,Orchid
Bryotropha similis,Moth
Barley stripe mosaic virus,BSMV
Blotched snakehead virus,BSNV
Brome streak virus (strain 11-Cal),BStV
Brome streak virus (strain German),BStV
Beet mosaic virus,BtMV
Eidolon helvum parvovirus 1 (isolate Bat/Ghana/-/2009),Eh-BtPV-1
Bubalus mindorensis,Tamaraw
Bucephala albeola,Bufflehead
Buddleja asiatica,Dogtail
Bulbophyllum biflorum,Orchid
Bulbophyllum lobbii,Orchid
Bulbophyllum macranthum,Orchid
Bunyamwera virus (strain Smithburn),BUNV
Bunyamwera virus,BUNV
Bupleurum angulosum,Thoroughwax
Bupleurum fruticosum,Thoroughwax
Burmoniscus ocellatus,Woodlouse
Burmoniscus okinawaensis,Woodlouse
Burchardia umbellata,Milkmaids
Bussuquara virus,BUSV
Buthus paris,Scorpion
Buthus sp. (strain IY-2001),Scorpion
Bovine viral diarrhea virus,BVDV
Bovine viral diarrhea virus (strain CP7),BVDV
Bovine viral diarrhea virus (isolate NADL),BVDV
Bovine viral diarrhea virus (strain SD-1),BVDV
Blackberry virus Y (isolate Blackberry plant/USA:Arkansas/C3ARK/2005),BVY
Beluga whale coronavirus (strain SW1),BwCoV
Beet western yellows virus (isolate GB1),BWYV
Barley yellow dwarf virus (isolate MAV-PS1),BYDV
Barley yellow dwarf virus (isolate MAV),BYDV
Barley yellow dwarf virus (isolate NY-RPV),BYDV
Barley yellow dwarf virus (isolate PAV),BYDV
Barley yellow dwarf virus (isolate P-PAV),BYDV
Beet yellows virus (isolate Ukraine),BYV
Cacopsylla coccinea,Psyllid
Canary circovirus,CaCV
Canine calicivirus (strain 48),CaCV
Cadicivirus A (isolate Dog/Hong Kong/209/2008),CaPdV-1
Caesalpinia pulcherrima,Pride-of-Barbados
Caprine arthritis encephalitis virus,CAEV
Caprine arthritis encephalitis virus (strain Cork),CAEV-Co
Caprine arthritis encephalitis virus (strain 63),CAEV-63
Calidris alba,Sanderling
Calidris alpina,Dunlin
Calonarius alcalinophilus,Webcap
Calloplesiops altivelis,Comet
Calypso bulbosa,Orchid
Callaeas cinereus,Kokako
Cabbage leaf curl virus (isolate Jamaica),CaLCuV
Calanus glacialis,Copepod
Calanus helgolandicus,Copepod
Calanus hyperboreus,Copepod
Calciphilopteris ludens,Fern
Callistoctopus minor,Octopus
Calodesma maculifrons,Moth
Calliphora maritima,Blowfly
Calonarius odorifer,Mushroom
Calotropis procera,Roostertree
Calyptranthes pallens,Spicewood
Calidris pugnax,Ruff
Calisoga sp.,Spider
Callithrix sp.,Marmoset
Calanus sinicus,Copepod
Calanthe tricarinata,Orchid
Calanthe vestita,Orchid
Calidris virgata,Surfbird
Calluna vulgaris,Heather
Campsomeriella annulata,Wasp
Camelus dromedarius,Dromedary
Campylocentrum fasciola,Orchid
Camellia hiemalis,Camellia
Camellia sinensis,Tea
Cauliflower mosaic virus (strain D4),CaMV
Cauliflower mosaic virus (strain Bari 1),CaMV
Cauliflower mosaic virus (strain CM-1841),CaMV
Cauliflower mosaic virus (strain D/H),CaMV
Cauliflower mosaic virus (strain BBC),CaMV
Cauliflower mosaic virus (strain S-Japan),CaMV
Cauliflower mosaic virus (strain NY8153),CaMV
Cauliflower mosaic virus (strain PV147),CaMV
Cauliflower mosaic virus (strain Strasbourg),CaMV
Cauliflower mosaic virus (strain W260),CaMV
